producto,categoria,vida_util_dias,signos_deterioro,tips_conservacion,uso_emergencia,motivo_desperdicio_comun
Plátano,Fruta,5,"Manchas cafés, textura excesivamente blanda, olor dulce fuerte",Separar del racimo y envolver el tallo en film plástico. No refrigerar si no está maduro.,"Pan de plátano, licuados, helado de un solo ingrediente (congelado).",Se compra en racimos grandes y maduran todos al mismo tiempo.
Espinaca,Verdura de hoja,3,"Hojas viscosas, color amarillento, olor a descomposición","Lavar, secar muy bien y guardar con una servilleta de papel en un recipiente hermético.","Pesto, crema de espinacas, jugos verdes o salteado con huevo.",Exceso de humedad en el empaque original que pudre las hojas rápidamente.
Jitomate,Verdura,7,"Piel arrugada, manchas de moho en el tallo, zonas muy aguadas",Guardar a temperatura ambiente con el tallo hacia abajo. Solo refrigerar si ya está muy maduro.,"Salsa para pasta, jitomates deshidratados al horno, base para sopa.",Se compran demasiados y se olvidan en el fondo del cajón de verduras.
Aguacate,Fruta,3,"Cáscara muy oscura, tacto extremadamente blando, interior con fibras negras","Si está maduro, refrigerar. Si está abierto, dejar el hueso y cubrir con limón o aceite.","Guacamole, mascarilla facial, batidos cremosos.",Pasa de 'le falta' a 'se pasó' en cuestión de horas.
Fresa,Fruta / Baya,4,"Presencia de moho blanco/gris, textura colapsada",No lavar hasta antes de comer. Guardar en una sola capa en un recipiente ventilado.,"Mermelada casera, coulis para postres, agua fresca.",Hongos que se propagan rápido de una fresa a las demás.
Cebolla,Verdura,30,"Brote verde largo, capas exteriores aguadas o con moho negro","Lugar fresco, oscuro y seco. No guardar junto a las papas.","Cebollas caramelizadas, aros de cebolla, base para caldos.",Mala ventilación que provoca humedad y brotes.
Lechuga,Verdura de hoja,5,"Bordes cafés/oxidados, hojas marchitas y sin firmeza","Sumergir en agua con hielo para revivir, secar y guardar en bolsa con aire.","Sopa de lechuga (sí, existe), salteado tipo asiático.",Se oxida por contacto con el aire o se quema por el frío directo del refri.
Manzana,Fruta,20,"Textura harinosa, piel con hoyos o arrugas profundas",Refrigerar en el cajón de humedad alta. Mantener lejos de otras frutas.,"Puré de manzana, manzanas asadas con canela, vinagre de manzana.",Se quedan al fondo del frutero y pierden su textura crujiente.
Calabacita,Verdura,6,"Piel pegajosa, extremos con moho, textura blanda",Guardar en bolsa de plástico perforada en el refrigerador.,"Crema de calabaza, pan de calabacita (estilo zucchini bread).",Absorben demasiada humedad y se vuelven babosas.
Cilantro,Hierba / Verdura,4,"Hojas negras, tallos aguados, olor a podrido",Como flores: tallos en un vaso con agua y cubrir las hojas con una bolsa.,"Chimichurri, aceite de cilantro, pesto de hierbas.",Se compra el manojo completo y solo se usan unas ramitas.
